Price,Model,Year,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
['230000'],مرسيدس C200,2014.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['59000'],فورد فيستا,2014.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['84000'],نيسان باترول,2003.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['75000'],فورد ترانزيت,2005.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['39000'],بيجو 206+,2012.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['73000'],سكودا فابيا,2016.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['30000'],فيات 1998,1998.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['55000'],سكودا فابيا,2012.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD
جنطات مغنيسيوم"
,,,,,,,,,,,,,,,
['66000'],كيا برايد,2014.0,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['55000'],بيجو بارتنر,2011.0,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية"
['100000'],فولكسفاجن كادي,2014.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150 الف,6+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD"
['2600'],هوندا اكورد,1997.0,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1800,210000,4+١,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['1800'],اوبل اسكونا,1967.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1,4+1,إمكانية التقسيط,للبيع فقط,2,"مسجل CD
جنطات مغنيسيوم"
,,,,,,,,,,,,,,,
['77000'],هونداي سانتافيه,2008.0,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['20000'],هونداي الانترا,1999.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000000000,4+1,نقدا فقط,للبيع فقط,ثالثة,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['61000'],هونداي i30,2010.0,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['47000'],فورد فيستا,2014.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,4+1,نقدا فقط,للتبديل فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['93000'],هونداي توسان,2014.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['71000'],سكودا رابيد,2014.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,غير منمر استيراد الماني,"مُكيّف
جهاز إنذار
مسجل CD"
,,,,,,,,,,,,,,,
['110000'],هونداي i40,2011.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['90000'],سكودا اوكتافيا,2014.0,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم"
['67000'],كيا فورتي,2011.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"122,000",4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['17500'],اوبل كاديت,1982.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,00000000000000,4+1,نقدا فقط,للبيع فقط,00,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم"
['67000'],هونداي اكسنت,2016.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['60000'],فولكسفاجن بولو,2012.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['95000'],فولكسفاجن كادي,2011.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['30000'],دايو لانوس,1999.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,4+1,نقدا فقط,للبيع فقط,3,
['115000'],فولكسفاجن كادي,2012.0,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['109000'],هونداي توسان,2014.0,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,29000,4+1,إمكانية التقسيط,للبيع أو التبديل,غير منمرة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['42000'],هونداي افانتي,2006.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123457,,إمكانية التقسيط,للبيع أو التبديل,2,
['85000'],فولكسفاجن توران,2011.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥٠٠٠٠,٧,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['32500'],شفروليه اوبترا,2006.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,3,"إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['33500'],اوبل كورسا,2003.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['97000'],فولكسفاجن توران,2012.0,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['85000'],هونداي توسان,2010.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['45000'],فورد فيستا,2012.0,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['21000'],دايو رايسر,1996.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,00000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['11000'],رينو R9,1983.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,,إمكانية التقسيط,للبيع أو التبديل,,"مسجل CD
جنطات مغنيسيوم
فرش جلد"
['45000'],فورد ترانزيت,2000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,"7,+ 1",نقدا فقط,للبيع أو التبديل,,"مسجل CD
وسادة حماية هوائية"
['20000'],مرسيدس فيتو,1999.0,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['56500'],اوبل كورسا,2015.0,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,5+1,نقدا فقط,للبيع فقط,أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['85000'],جييب شيروكي,2003.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['10000'],رينو R9,1982.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1235,,,نقدا فقط,للبيع فقط,٨,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['51900'],اوبل كورسا,2013.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['75000'],فولكسفاجن كرافيل,2008.0,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7:1,نقدا فقط,للبيع فقط,يد اولا,"مُكيّف
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['40000'],هونداي جيتس,2007.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,900000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['113000'],سكودا اوكتافيا,2015.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['25000'],فولكسفاجن بولو,1997.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['60000'],فولكسفاجن جولف,2007.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم"
['100000'],فولكسفاجن جولف,2012.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['37000'],سكودا اوكتافيا,2001.0,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,_,4+1,نقدا فقط,للبيع فقط,يد سادسة,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد"
['85000'],فولكسفاجن باسات,2010.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['37000'],فولكسفاجن ترانسبورتر,1999.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,1+7,إمكانية التقسيط,للبيع أو التبديل,,"مسجل CD
فرش جلد"
['23000'],اوبل كاديت,1986.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['69000'],بيجو بارتنر,2012.0,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,-,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية"
['13000'],اوبل كاديت,1984.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,4+1,نقدا فقط,للبيع فقط,5,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['6000'],اوبل اسكونا,1984.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5+1,نقدا فقط,للبيع فقط,5,"جنطات مغنيسيوم
فرش جلد"
['45000'],اوبل زافيرا,2004.0,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['123999'],سكودا سوبيرب,2014.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['59000'],كيا بيكانتو,2015.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['84000'],فولكسفاجن بولو,2015.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['5500'],فورد فوكس,2002.0,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['108000'],فولكسفاجن كادي,2015.0,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['22000'],دايو نوبيرا,1997.0,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,4+1,إمكانية التقسيط,للبيع أو التبديل,9,"مُكيّف
إغلاق مركزي
مسجل CD"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['215000'],بي ام دبليو X3,2014.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['67000'],فورد فيستا,2013.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['45000'],شفروليه افيو,2009.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160000,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['55000'],هونداي توسان,2006.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
['11500'],دراجة نارية دراجه سييم,2016.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,4000,,إمكانية التقسيط,للبيع أو التبديل,0,
['4000'],فولكسفاجن جولف,1982.0,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1300,,,نقدا فقط,للبيع فقط,,
['66000'],هونداي توسان,2008.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,5+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية"
['68000'],هونداي اكسنت,2015.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900,,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['95000'],سكودا اوكتافيا,2016.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,4+1,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['7000'],رينو R9,1983.0,كحلي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,4+1,إمكانية التقسيط,للبيع فقط,,
['57000'],بيجو بارتنر,2011.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٦٠,٤+١,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['7500'],بيجو 305,1984.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,00000,4+1,نقدا فقط,للبيع فقط,0000,"مسجل CD
فرش جلد"
['1900'],ستروين كسارا,2000.0,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0000,5+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية"
['42000'],هونداي كليك,2007.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80 الف,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية"
['25000'],بي ام دبليو 520,1994.0,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,4+1,إمكانية التقسيط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['60000'],هونداي i25,2014.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60,4+١,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['38500'],بيجو 307,2007.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['55000'],هونداي i30,2008.0,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['87000'],فولكسفاجن CC,2010.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,120000قابل لزيادة,5+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
['120000'],كيا سورينتو,2013.0,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,100000,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد"
['22000'],دايو ماتيز,2002.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية"
['30000'],مرسيدس 220,1997.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,١+٤,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد"
,,,,,,,,,,,,,,,
['190000'],فولفو FH 12,2001.0,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,420,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['36000'],فولكسفاجن باسات,2000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية"
,,,,,,,,,,,,,,,
['28000'],شفروليه اوبترا,2007.0,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية"
